Country,Count,Mean,Std,Min,Median,Max,Sum
United Arab Emirates,271,299135634.95941,860343474.541762,0,0,4695477307,81065757074
United Kingdom,271,22738309496.3727,24836784966.6219,9350528,11338962480,78161145636,6162081873517
United States,271,70364455527.0221,112368853611.824,0,3906712354,417000000000,19068767447823
Uruguay,271,45055577.7822878,93370869.5302195,0,0,371228927,12210061579
Uzbekistan,271,730209196.457565,1532167686.22843,0,5213351,6310349345,197886692240
Vanuatu,271,421529.011070111,1000572.82017911,0,0,4752294,114234362
Venezuela,271,861769554.243542,1845789920.43049,0,0,7854691960,233539549200
Vietnam,271,267989045.870849,650251876.27246,0,0,3977272058,72625031431
Yemen,271,52462432.7084871,132311840.897824,0,0,624654156,14217319264
Zambia,271,32513869.1180812,64369216.8637107,0,0,247987833,8811258531
Zimbabwe,271,108356805.287823,204666248.808639,0,0,779383468,29364694233
